	FoldChange	log2(FC)	p.value	-log10	fdr
lactose	1.1340860492271299	0.181530109489524	0.0935668518250906	1.02887798266375	0.17933646599808997
4-hydroxycinnamic acid	0.887045366165902	-0.17292020471401098	0.330925797102008	0.48026937638092204	0.491051182796528
lauric acid	0.889529612853025	-0.168885460609008	0.151520922460339	0.819527394345187	0.258146756784282
benzoic acid	1.1165656876173202	0.159068127481137	0.0682136179887284	1.16612891527064	0.139458952332511
xylose	1.11299287552892	0.154444357754452	0.43168631546875397	0.3648317183361	0.5515991808767421
pantothenic acid	0.8986664390143859	-0.15414236966821498	0.5384738897537029	0.268835350510488	0.627083517181527
Trehalose	1.1125546901931498	0.153876256826109	0.490579558005692	0.309290552400099	0.609909720763833
pelargonic acid (nonanoic acid)	0.901533323024485	-0.149547276470263	0.186749141610165	0.7287413857365279	0.29622277634715805
glycerol 1-phosphate	0.9021364996994939	-0.148582354820756	0.40969270926396795	0.387541764517937	0.540530635702039
beta-gentiobiose	1.10394561718457	0.14266910350141102	0.5287106722565371	0.27678192308203803	0.625708596728062
ferulic acid	1.0935262731842401	0.12898788315442097	0.17152398412887598	0.765675144154472	0.28178940249744
trans-aconitic acid	1.0911673606405798	0.125872395748343	0.4112733097732911	0.38586947379812897	0.540530635702039
phosphoric acid	1.08417637078258	0.116599469381562	0.389527777965225	0.40946156652323	0.528958703587512
Pyruvic acid	1.08008613998217	0.111146376064096	0.349350436198737	0.45673871014948	0.510162541750536
2-hydroxypyridine	0.9332448247135159	-0.0996724917671053	0.570539999718604	0.243713902432265	0.64802074042113
fructose	0.933902038571354	-0.0986568681637248	0.371798298078663	0.4296926025596479	0.528958703587512
acetohydroxamic acid	1.06522558958997	0.0911589915011101	0.500502937381306	0.300593369363985	0.6139502698544019
arbutin	0.9641742901990791	-0.0526341342434397	0.9182963858252309	0.0370171249493076	0.949250196583385
palmitic acid	1.03267483298249	0.0463860521765875	0.388527778103973	0.41057792552199995	0.528958703587512
D-mannose	0.9714898420182919	-0.0417291839418499	0.656969739516463	0.18245463388569697	0.730381329720168
D-glucose	0.971681913248486	-0.041443979907312	0.658930982247543	0.18116007189879801	0.730381329720168
D-mannitol	0.972394884811127	-0.0403857906579373	0.668121947451474	0.175144261668676	0.731752609113519
glyoxylic acid	1.02625046078804	0.0373828697755189	0.858984680154514	0.0660145816678125	0.8980294383433559
benzene-1,2,4-triol 	0.978056186582919	-0.0320107485481364	0.555747228262244	0.255122694627019	0.63910931250158
1,6-anhydro-glucose 	1.0220581909400401	0.0314773385364668	0.530492071139009	0.275321102783016	0.625708596728062
tyrosine	0.981421148893385	-0.0270557341447075	0.8348839570067951	0.0783738841976584	0.882865793616381
sedoheptulose anhydride monohydrate	0.983322518742021	-0.024263412934526	0.831014063807989	0.080391626297092	0.882865793616381
ribose	1.01282832789593	0.018389661323845	0.8042274088028559	0.0946211298292369	0.8704579012925029
nicotinic acid	1.00940794805357	0.0135093515392695	0.9395330373640379	0.0270879439374495	0.9604115493054609
3-hydroxypyridine	0.9968915910124899	-0.00449147051708764	0.965616944671303	0.0151951218329561	0.9762281198874709
maltose	1.0005525696025899	0.000796969255177469	0.9959496081787741	0.00176263491318341	0.9959496081787741
