	FoldChange	log2(FC)_Maize	p.value	-log10	fdr
L-homoserine	0.377737716896617	-1.40454325163611	4.88255996454919E-07	6.31135241427402	1.12298879184631E-05
L-Isoleucine	0.425370573946416	-1.23320786010766	0.036110049177709	1.44237192011393	0.069414512993392
L-leucine	0.425464610789481	-1.23288895818603	0.036216267648726	1.44109630893871	0.069414512993392
L-lysine	0.914010364936937	-0.129717569255734	0.617644389879883	0.209261498962626	0.737964725570769
L-mimosine	1.08949973196115	0.123665841521862	0.729190779023221	0.137158831850101	0.808259658676342
L-proline	0.241955075182527	-2.04718889378436	0.143127572572548	0.844276694244274	0.240435475675164
L-serine	0.2965455314744	-1.75367446232786	0.001921528202132	2.71635323704379	0.006313592664148
L-threonine	0.217572146658758	-2.20043421867282	0.000462133325405	3.33523271246491	0.001857599819172
L-tryptophan	0.92605918309216	-0.110823697918969	0.626678549403119	0.202955170523093	0.739159314680601
L-valine	0.263301454051191	-1.92521260636837	7.53230595355675E-06	5.1230720477575	6.44670777988983E-05
lactose	0.750180826816712	-0.414689703935336	0.310078726488561	0.508528028298467	0.452813378364248
lauric acid	1.65372695662128	0.725721053828323	0.235410445770635	0.628174270295067	0.373409672601697
maleic acid	2.42887441885508	1.28028789961617	0.000464399954793	3.33310783120988	0.001857599819172
maltose	1.04043260702057	0.057183518974203	0.668014728469214	0.175213962041834	0.768216937739596
myo-inositol	0.6413074367319	-0.640911957828567	0.003506458742378	2.4551312667219	0.010081068884336
myristic acid	0.347049328959346	-1.52678735546413	1.87618592196868E-07	6.7267241271061	8.63045524105594E-06
nicotinic acid	0.998669948111931	-0.001920136486876	0.99586070980592	0.001801401729941	0.99586070980592
oxalic acid	0.978769664202822	-0.03095870738748	0.822811925075286	0.084699422669021	0.880217408220073
palmitic acid	1.02471394773435	0.035221232871123	0.615278228653073	0.210928451957503	0.737964725570769
pantothenic acid	0.518985570014721	-0.946233668746624	0.004592310924854	2.33796871547574	0.011763278143531
pelargonic acid (nonanoic acid)	0.914643990019549	-0.128717787313812	0.539071547752672	0.268353589670342	0.688813644350637
phosphoric acid	1.06816306806772	0.095131908761666	0.662610114307138	0.178741939184132	0.768216937739596
Pyruvic acid	1.29303928650665	0.370766109322398	0.019914907580076	1.70082170469811	0.041640261303794
quinic acid	1.41615672144312	0.50198093260833	0.000166498707569	3.77858913331688	0.000806204268227
ribose	1.03406306039939	0.048324168391134	0.39984599572885	0.398107248881612	0.557361084955366
sedoheptulose anhydride monohydrate	0.739922416751589	-0.434554087437112	0.007220289733016	2.14144537487838	0.017953152849661
serotonin	0.513629516149501	-0.961199984368424	0.255068699206658	0.593342832632365	0.391105338783542
shikimic acid	1.64720241597772	0.720017851107886	5.20214517470694E-05	4.28381753224503	0.000299123347546
spermidine	0.968681162164703	-0.045906208872223	0.609380517670602	0.215111434595465	0.737964725570769
stearic acid	1.33667706116011	0.418650954930983	0.282630426846794	0.548781085586028	0.426262283113198
succinic acid	2.41850462575459	1.27411529715811	0.000452183500956	3.34468528801972	0.001857599819172
Sucrose	1.05512540147049	0.077414473177245	0.432572408497844	0.363941185357599	0.591512258940456
threonic acid	0.225166429052218	-2.15093634850923	1.26117367122802E-06	5.89922510433687	2.32055955505956E-05
trans-aconitic acid	0.975659964550033	-0.035549665268624	0.725278540736793	0.139495172086672	0.808259658676342
Trehalose	1.39615030421464	0.481454264951876	0.0194631721996	1.7107863749358	0.041640261303794
tyrosine	0.723436401232026	-0.467061902816151	0.016131458104483	1.79232637544359	0.035335574895534
xylose	0.548901533253448	-0.865380725671345	0.043359349874573	1.36291723818559	0.078911145175388
